                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0089,                 3.2653,                 1.4681,                0.00182,                      1,                0.32905,                0.23397,                0.25024,                 6.3681,                0.54097,                 0.0002,                 0.0002,                 0.0002
                      2,                0.66456,                 1.9314,                 1.1937,                0.00182,                      1,                  0.995,                0.78864,                0.36044,                 6.2646,                0.68171,             0.00040337,             0.00040337,             0.00040337
                      3,                0.59428,                 1.6644,                 1.1224,                0.96353,                      1,                  0.995,                0.92078,                0.27519,                 6.6565,                0.50747,             0.00058931,             0.00058931,             0.00058931
                      4,                0.57895,                 1.4818,                  1.105,                0.74787,                0.94444,                0.90754,                0.57606,                 0.3543,                 6.5678,                0.63827,             0.00075783,             0.00075783,             0.00075783
                      5,                0.56878,                 1.3182,                 1.1316,                0.42873,                0.77778,                0.48806,                0.24932,                0.48058,                 7.8351,                0.99263,             0.00090893,             0.00090893,             0.00090893
                      6,                0.59232,                 1.2085,                 1.1267,                0.96833,                0.94444,                0.99237,                0.81328,                0.25804,                 4.8343,                0.50718,              0.0010426,              0.0010426,              0.0010426
                      7,                 0.5778,                 1.1911,                 1.0895,                0.90751,                0.94444,                0.98452,                0.85347,                0.33419,                 3.4646,                0.67044,              0.0011588,              0.0011588,              0.0011588
                      8,                0.64564,                 1.2258,                 1.1563,                0.05084,                0.11111,                0.05064,                0.01619,                0.97631,                 3.3632,                   1.48,              0.0012577,              0.0012577,              0.0012577
                      9,                0.60398,                 1.1416,                 1.1013,                      1,                0.49599,                0.94688,                0.44119,                0.75477,                 2.8372,                0.95047,              0.0013391,              0.0013391,              0.0013391
                     10,                0.69434,                 1.3532,                 1.1617,                0.82229,                      1,                  0.995,                0.95851,                0.18819,                 1.7824,                 0.4089,              0.0012872,              0.0012872,              0.0012872
                     11,                0.60973,                 1.1353,                 1.1153,                  0.708,                      1,                0.80868,                0.49398,                0.48434,                 2.2077,                0.65249,              0.0012872,              0.0012872,              0.0012872
                     12,                0.52768,                 1.0113,                 1.0537,                0.00182,                      1,                0.01873,                0.00836,                0.90811,                 3.0184,                 1.1188,               0.001208,               0.001208,               0.001208
                     13,                0.48734,                0.84147,                 1.0677,                0.09647,                0.05556,                0.11601,                0.09323,                0.55819,                 3.1395,                0.81789,              0.0011288,              0.0011288,              0.0011288
                     14,                0.49905,                0.85629,                 1.0645,                 0.9812,                      1,                  0.995,                0.87111,                0.32876,                 2.3537,                0.56612,              0.0010496,              0.0010496,              0.0010496
                     15,                0.45846,                0.76068,                  1.027,                0.94712,                      1,                  0.995,                0.90287,                0.19396,                 1.8315,                 0.4392,              0.0009704,              0.0009704,              0.0009704
                     16,                0.36197,                 1.2995,                0.97044,                0.99091,                      1,                  0.995,                0.95613,                0.14743,                 2.1471,                0.39364,              0.0008912,              0.0008912,              0.0008912
                     17,                0.35728,                 1.0855,                0.99137,                0.99699,                      1,                  0.995,                  0.995,                0.13182,                 1.2879,                0.36411,               0.000812,               0.000812,               0.000812
                     18,                0.33005,                0.93219,                0.94671,                0.99535,                      1,                  0.995,                  0.995,                0.13438,                 1.3606,                0.36811,              0.0007328,              0.0007328,              0.0007328
                     19,                0.30429,                0.89112,                0.93528,                0.99583,                      1,                  0.995,                0.85828,                0.30867,                   1.34,                0.51244,              0.0006536,              0.0006536,              0.0006536
                     20,                0.28267,                0.82662,                0.91596,                0.99701,                      1,                  0.995,                  0.995,                0.12229,                0.97625,                0.36089,              0.0005744,              0.0005744,              0.0005744
                     21,                0.28936,                0.95437,                0.88756,                0.99701,                      1,                  0.995,                  0.995,                0.10546,                0.98293,                0.33973,              0.0004952,              0.0004952,              0.0004952
                     22,                0.24828,                0.80254,                0.88883,                0.99648,                      1,                  0.995,                  0.995,                0.08488,                 1.2936,                0.32645,               0.000416,               0.000416,               0.000416
                     23,                0.23612,                 0.7294,                0.90913,                0.99603,                      1,                  0.995,                  0.995,                0.12022,                 1.5724,                0.34086,              0.0003368,              0.0003368,              0.0003368
                     24,                0.22993,                  0.684,                0.89082,                0.99665,                      1,                  0.995,                  0.995,                0.10558,                  1.253,                0.32873,              0.0002576,              0.0002576,              0.0002576
                     25,                0.20214,                0.67694,                0.87547,                0.99714,                      1,                  0.995,                  0.995,                0.09298,                 1.0985,                0.32141,              0.0001784,              0.0001784,              0.0001784
