                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69581,                 2.9227,                 1.2561,                0.77549,                0.14474,                 0.4221,                0.25513,                 1.1975,                 23.121,                 1.9974,                 0.0005,                 0.0005,                 0.0005
                      2,                 0.5285,                 1.5497,                 1.0795,                0.80616,                0.71053,                0.75292,                0.67809,                 0.5782,                 26.899,                 1.1018,               0.001016,               0.001016,               0.001016
                      3,                0.57839,                  1.258,                 1.1031,                0.32242,                0.23793,                0.20001,                0.15092,                  1.565,                 22.067,                 4.6025,              0.0015278,              0.0015278,              0.0015278
                      4,                0.60991,                 1.0204,                 1.1159,                0.49755,                0.84694,                0.69309,                0.55325,                0.66546,                 37.856,                 1.2909,              0.0019762,              0.0019762,              0.0019762
                      5,                0.59515,                0.81347,                 1.1062,                0.57098,                0.64474,                0.66047,                0.20986,                 2.2837,                 69.601,                 4.4611,              0.0019762,              0.0019762,              0.0019762
                      6,                0.57253,                0.67674,                 1.0881,                0.71831,                0.90592,                 0.9089,                0.62289,                0.61097,                 14.867,                 1.1804,              0.0019683,              0.0019683,              0.0019683
                      7,                0.53601,                0.59384,                 1.0769,                0.93016,                0.85526,                0.94298,                0.81296,                0.57358,                  4.788,                 1.0832,              0.0019604,              0.0019604,              0.0019604
                      8,                0.52328,                0.56469,                 1.0608,                0.98479,                0.85211,                0.96786,                0.89409,                0.35782,                 9.0576,                0.84257,              0.0019525,              0.0019525,              0.0019525
                      9,                0.49447,                0.50756,                 1.0471,                0.93564,                0.97368,                0.97824,                0.91389,                0.50966,                0.84711,                0.95492,              0.0019446,              0.0019446,              0.0019446
                     10,                0.48633,                 0.4821,                 1.0399,                0.94273,                0.97368,                0.98092,                0.87421,                0.42135,                 1.0795,                0.87721,              0.0019366,              0.0019366,              0.0019366
                     11,                0.47236,                0.46508,                 1.0378,                0.81298,                0.85797,                0.90806,                0.85555,                 0.3684,                 4.9361,                0.81918,              0.0019287,              0.0019287,              0.0019287
                     12,                0.44587,                0.44595,                 1.0195,                0.95815,                0.85526,                0.95952,                0.92732,                0.23502,                 7.0006,                 0.6854,              0.0019208,              0.0019208,              0.0019208
                     13,                0.43749,                0.43446,                 1.0032,                0.85369,                0.94737,                0.96175,                0.92366,                0.41452,                 1.5438,                0.94247,              0.0019129,              0.0019129,              0.0019129
                     14,                  0.428,                 0.4045,                 1.0029,                0.97434,                0.99908,                0.99422,                 0.9683,                0.31377,                0.35558,                0.75754,               0.001905,               0.001905,               0.001905
                     15,                0.40338,                0.39025,                0.98394,                 0.9475,                0.94737,                0.96058,                0.90757,                 0.4053,                  2.814,                 0.8353,               0.001897,               0.001897,               0.001897
                     16,                0.40601,                0.39888,                 1.0016,                0.97953,                0.88158,                0.96366,                0.92469,                0.30972,                 2.2958,                0.73755,              0.0018891,              0.0018891,              0.0018891
                     17,                0.39834,                0.37987,                0.98919,                0.96535,                      1,                0.99449,                0.96209,                0.23302,                0.47262,                 0.6853,              0.0018812,              0.0018812,              0.0018812
                     18,                0.38568,                0.36216,                0.98286,                0.97431,                0.99824,                0.99461,                0.96788,                0.25838,                0.25193,                0.72761,              0.0018733,              0.0018733,              0.0018733
                     19,                0.36549,                0.35639,                0.97008,                0.98648,                0.98684,                0.98997,                0.96149,                 0.2248,                0.27052,                 0.6816,              0.0018654,              0.0018654,              0.0018654
                     20,                0.36935,                0.35609,                 0.9722,                0.96731,                0.98684,                0.99303,                0.95644,                0.28836,                0.36016,                0.75245,              0.0018574,              0.0018574,              0.0018574
                     21,                0.36531,                0.33481,                0.97039,                 0.9939,                0.98684,                0.99374,                0.97809,                0.29358,                0.24183,                0.72016,              0.0018495,              0.0018495,              0.0018495
                     22,                0.35773,                0.32985,                0.95834,                0.89429,                0.94737,                0.98255,                 0.9449,                0.26149,                0.54582,                0.69351,              0.0018416,              0.0018416,              0.0018416
                     23,                 0.3617,                 0.3329,                0.96159,                0.98079,                      1,                0.99357,                0.96087,                 0.3202,                0.27482,                0.76818,              0.0018337,              0.0018337,              0.0018337
                     24,                0.33319,                0.31327,                 0.9492,                0.98733,                0.94737,                0.99088,                0.95196,                0.28538,                 0.2596,                0.76597,              0.0018258,              0.0018258,              0.0018258
                     25,                0.34347,                0.31287,                0.95939,                0.99036,                0.97368,                 0.9936,                0.98291,                0.19545,                  0.191,                0.66674,              0.0018178,              0.0018178,              0.0018178
                     26,                0.33226,                0.31344,                0.95088,                0.97263,                      1,                0.99317,                0.98332,                0.24905,                0.20701,                  0.692,              0.0018099,              0.0018099,              0.0018099
                     27,                0.34606,                0.33186,                0.95963,                0.97283,                0.98684,                0.99228,                0.97054,                 0.2258,                0.39119,                0.67162,               0.001802,               0.001802,               0.001802
                     28,                0.33826,                 0.3051,                0.95568,                 0.9736,                0.98684,                0.98698,                0.96467,                0.25193,                0.26105,                0.68139,              0.0017941,              0.0017941,              0.0017941
                     29,                0.35748,                0.32354,                0.96252,                 0.9963,                0.96053,                0.99191,                0.97736,                0.23526,                0.18928,                0.68994,              0.0017862,              0.0017862,              0.0017862
                     30,                0.33832,                0.30389,                0.95839,                0.98664,                0.97202,                0.99236,                0.96972,                0.29176,                0.26618,                0.73554,              0.0017782,              0.0017782,              0.0017782
                     31,                0.32106,                0.28593,                0.94617,                0.97015,                0.96053,                0.99248,                0.96313,                0.22256,                0.30636,                 0.6917,              0.0017703,              0.0017703,              0.0017703
                     32,                0.32922,                0.30857,                0.95584,                0.96148,                0.98532,                0.99321,                 0.9835,                0.28185,                0.25584,                0.74743,              0.0017624,              0.0017624,              0.0017624
                     33,                 0.3053,                0.28521,                0.93805,                0.98489,                0.96053,                0.98559,                0.96241,                0.25654,                 2.6512,                0.73311,              0.0017545,              0.0017545,              0.0017545
