                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6015,                 5.7134,                 1.3936,                0.00154,                0.79487,                0.34089,                0.25023,                0.91945,                 4.7708,                0.97827,              0.0001667,              0.0001667,              0.0001667
                      2,                0.98597,                  3.211,                0.98209,                0.00184,                      1,                 0.7571,                0.54016,                0.85277,                 3.8232,                0.87763,             0.00034868,             0.00034868,             0.00034868
                      3,                0.83299,                 2.1191,                0.92287,                0.00174,                 0.9359,                0.57228,                0.38205,                0.77701,                 3.9788,                0.90729,             0.00052922,             0.00052922,             0.00052922
                      4,                0.78808,                 1.7584,                0.92653,                0.93583,                0.11538,                0.67979,                0.50582,                0.79949,                 3.5775,                 0.9167,             0.00070829,             0.00070829,             0.00070829
                      5,                0.78222,                 1.5805,                0.91661,                0.82242,                0.54787,                 0.6722,                0.42409,                 0.8566,                 3.3802,                0.95253,             0.00088592,             0.00088592,             0.00088592
                      6,                0.78438,                 1.4349,                0.92313,                      1,                0.51595,                0.86077,                0.64727,                0.86605,                 2.8955,                0.96372,              0.0010621,              0.0010621,              0.0010621
                      7,                0.80964,                 1.3292,                0.93322,                0.92266,                0.72146,                 0.9478,                0.73442,                0.82548,                  2.711,                0.94556,              0.0012368,              0.0012368,              0.0012368
                      8,                0.78623,                 1.1507,                 0.9328,                 0.8014,                 0.7924,                0.85299,                0.70781,                0.75556,                 1.6996,                 0.9425,              0.0014101,              0.0014101,              0.0014101
                      9,                0.79053,                 1.0389,                0.92631,                0.90359,                0.79226,                 0.8888,                 0.6955,                0.87392,                 1.5551,                 1.0072,              0.0015819,              0.0015819,              0.0015819
                     10,                0.80456,                0.94095,                0.92808,                0.78869,                0.54275,                0.65418,                0.47487,                 1.0635,                 1.9793,                 1.1671,              0.0016076,              0.0016076,              0.0016076
                     11,                0.79383,                0.87333,                0.92933,                0.80219,                 0.7678,                0.72611,                0.58426,                0.92389,                 1.0387,                  1.091,              0.0016076,              0.0016076,              0.0016076
                     12,                0.74961,                0.76769,                 0.9177,                0.99025,                0.90532,                0.95703,                0.73183,                0.90122,                0.93848,                0.98819,               0.001601,               0.001601,               0.001601
                     13,                0.74963,                0.72487,                0.91355,                0.93428,                0.90072,                0.97331,                0.76071,                0.76718,                0.82472,                0.91245,              0.0015944,              0.0015944,              0.0015944
                     14,                0.72446,                0.66538,                0.90509,                0.93013,                0.90219,                0.98638,                0.80599,                0.74779,                0.65659,                0.92526,              0.0015878,              0.0015878,              0.0015878
                     15,                0.75079,                0.66961,                 0.9093,                0.92285,                0.92308,                0.92992,                 0.7752,                0.73466,                0.61995,                0.90557,              0.0015812,              0.0015812,              0.0015812
                     16,                0.72232,                0.62513,                0.90561,                0.99142,                      1,                  0.995,                0.83621,                0.69731,                0.48697,                0.88778,              0.0015746,              0.0015746,              0.0015746
                     17,                0.72525,                0.61653,                0.90878,                0.99364,                      1,                  0.995,                0.81986,                0.72541,                0.51306,                0.91408,               0.001568,               0.001568,               0.001568
                     18,                0.73388,                0.60605,                0.91462,                0.95588,                      1,                0.98964,                 0.7637,                 0.7784,                0.53127,                0.97272,              0.0015614,              0.0015614,              0.0015614
