                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7088,                 5.9424,                   1.49,                0.00152,                0.76923,                0.02309,                0.01808,                0.79223,                 4.7986,                0.99642,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1399,                  3.633,                 1.0839,                0.00182,                0.92308,                0.50194,                0.36257,                0.94645,                 4.1443,                0.94148,             0.00034868,             0.00034868,             0.00034868
                      3,                0.93797,                 2.3137,                0.97537,                0.00182,                      1,                 0.1532,                0.10781,                0.73901,                 3.9526,                 0.8717,             0.00052922,             0.00052922,             0.00052922
                      4,                 0.8804,                 1.8949,                0.97321,                0.00139,                0.73077,                0.02069,                0.01697,                 1.1475,                 4.0577,                 1.0305,             0.00070829,             0.00070829,             0.00070829
                      5,                0.82558,                 1.6722,                0.94113,                0.00169,                0.69231,                0.37878,                0.29304,                 1.0532,                 3.6862,                 1.1042,             0.00088592,             0.00088592,             0.00088592
                      6,                 0.8655,                 1.5391,                0.95668,                      1,                0.38599,                0.49644,                0.39717,                 1.0207,                 2.9199,                 1.0679,              0.0010621,              0.0010621,              0.0010621
                      7,                0.82972,                 1.3621,                0.95126,                0.85181,                0.21319,                0.29166,                0.24051,                0.99778,                 3.2403,                 1.0835,              0.0012368,              0.0012368,              0.0012368
                      8,                0.83292,                 1.1944,                0.95614,                0.00045,                0.48718,                0.00845,                0.00327,                 3.3702,                  5.461,                 3.1165,              0.0014101,              0.0014101,              0.0014101
                      9,                 0.8502,                 1.1009,                0.96186,                0.57878,                0.04085,                0.04753,                0.02968,                 2.7777,                 4.5372,                 2.3671,              0.0015819,              0.0015819,              0.0015819
                     10,                0.89843,                 1.0594,                 0.9718,                0.97235,                0.53651,                0.81468,                0.51614,                 1.1994,                 2.0425,                 1.0839,              0.0016076,              0.0016076,              0.0016076
                     11,                0.87343,                0.92446,                0.95535,                0.98451,                0.80769,                0.83168,                0.62361,                0.86361,                 2.5359,                  1.014,              0.0016076,              0.0016076,              0.0016076
                     12,                0.80784,                0.81686,                0.93741,                0.93841,                0.74723,                0.86281,                0.69168,                0.71676,                  1.516,                0.92102,               0.001601,               0.001601,               0.001601
