                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82442,                 2.3187,                 1.3544,                      1,                0.50873,                0.92003,                  0.661,                 0.7355,                 3.1244,                  1.305,                0.00038,                0.00038,                0.00038
                      2,                0.58309,                 1.1874,                 1.1415,                0.83946,                0.75904,                0.85531,                0.44277,                0.96471,                 3.2043,                 1.3969,             0.00077691,             0.00077691,             0.00077691
                      3,                0.57496,                0.94652,                 1.1265,                0.59346,                0.61216,                0.60599,                 0.3301,                0.94567,                 2.4313,                  1.536,              0.0011707,              0.0011707,              0.0011707
                      4,                0.59042,                0.80347,                 1.1181,                0.04569,                0.04032,                0.00585,                0.00223,                 4.1181,                  5.707,                 4.3702,              0.0015612,              0.0015612,              0.0015612
                      5,                0.59842,                0.74314,                  1.124,                0.20039,                   0.25,                0.09696,                0.02487,                 2.4242,                 4.4069,                 2.8927,              0.0019486,              0.0019486,              0.0019486
                      6,                0.58558,                0.65274,                 1.1186,                0.78334,                   0.25,                0.35304,                0.31138,                 1.2791,                 2.3289,                 1.7503,              0.0019604,              0.0019604,              0.0019604
                      7,                0.58169,                0.57705,                 1.1061,                0.28688,                 0.6371,                0.25574,                0.09456,                 1.7466,                 5.6717,                 2.6099,              0.0019604,              0.0019604,              0.0019604
                      8,                0.56854,                0.54267,                  1.104,                0.12235,                0.20161,                0.06691,                0.02653,                 2.5647,                 4.6431,                 3.1792,              0.0019525,              0.0019525,              0.0019525
                      9,                0.52542,                0.49994,                 1.0872,                0.61733,                0.62903,                0.62118,                0.38561,                 1.1706,                 1.9146,                 1.5223,              0.0019446,              0.0019446,              0.0019446
                     10,                0.55512,                0.49621,                 1.0913,                0.85546,                0.93548,                0.96452,                0.87943,                0.46119,                 1.0077,                0.87747,              0.0019366,              0.0019366,              0.0019366
                     11,                0.49706,                0.43354,                 1.0651,                 0.7828,                0.93548,                 0.9238,                0.72857,                0.63855,                 1.0851,                 1.0356,              0.0019287,              0.0019287,              0.0019287
                     12,                0.47798,                0.42854,                 1.0532,                0.93418,                 0.8629,                0.95784,                0.89059,                0.44364,                 1.0711,                 0.8136,              0.0019208,              0.0019208,              0.0019208
