                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5272,                 7.7571,                 1.3715,                 0.0006,                      1,                0.82483,                  0.677,                0.61707,                 8.6381,                0.89585,               0.003254,               0.003254,               0.003254
                      2,                0.92339,                 2.2569,                0.95581,                      1,                0.87507,                0.99236,                 0.8072,                0.71506,                 3.1858,                  0.942,              0.0065612,              0.0065612,              0.0065612
                      3,                0.96719,                 1.1808,                0.98746,                0.94108,                0.96797,                0.98113,                0.73334,                0.91718,                0.96478,                 1.0835,              0.0098421,              0.0098421,              0.0098421
                      4,                0.95823,                0.79533,                0.99406,                0.96542,                0.98485,                 0.9745,                0.72996,                 0.8296,                 4.8771,                 1.0232,              0.0098812,              0.0098812,              0.0098812
                      5,                0.87569,                0.68359,                0.95875,                0.82324,                0.98799,                0.98462,                0.69956,                0.93158,                 5.5338,                 1.0003,              0.0098812,              0.0098812,              0.0098812
                      6,                0.83181,                0.61672,                0.93836,                 0.9571,                0.93939,                 0.9778,                0.82152,                0.68953,                 0.9425,                0.92682,              0.0098416,              0.0098416,              0.0098416
                      7,                0.79625,                0.57943,                0.91781,                0.98288,                      1,                 0.9941,                0.83212,                0.70284,                0.95967,                0.90889,               0.009802,               0.009802,               0.009802
                      8,                 0.7606,                0.54066,                0.92068,                0.96236,                0.89394,                0.96439,                0.82489,                0.71751,                 1.4803,                0.93071,              0.0097624,              0.0097624,              0.0097624
                      9,                0.73882,                 0.5118,                0.90263,                0.98506,                0.99906,                0.99216,                0.88846,                0.59412,                 1.1558,                0.87872,              0.0097228,              0.0097228,              0.0097228
                     10,                0.70055,                0.50195,                0.89569,                0.96688,                      1,                0.99119,                0.85292,                0.51653,                0.47346,                0.86275,              0.0096832,              0.0096832,              0.0096832
                     11,                 0.6675,                0.47115,                0.88393,                0.97013,                 0.9841,                0.99137,                0.88624,                0.53459,                0.42968,                 0.8555,              0.0096436,              0.0096436,              0.0096436
                     12,                0.65057,                0.47441,                0.88073,                0.86359,                0.98485,                0.97664,                0.86997,                0.55593,                0.57621,                0.92575,               0.009604,               0.009604,               0.009604
                     13,                0.66025,                0.48579,                0.88899,                0.97035,                0.99165,                0.99243,                0.89004,                0.51065,                0.41187,                0.86472,              0.0095644,              0.0095644,              0.0095644
                     14,                0.61336,                0.43465,                0.86656,                0.96675,                0.98485,                0.99457,                0.90204,                0.45072,                0.36577,                0.83842,              0.0095248,              0.0095248,              0.0095248
                     15,                0.60345,                0.43647,                0.87037,                0.98505,                0.99813,                0.99485,                0.92309,                0.45196,                0.32212,                0.83669,              0.0094852,              0.0094852,              0.0094852
                     16,                0.60047,                0.42487,                0.87015,                0.99719,                0.98485,                0.99457,                0.84407,                0.59748,                 0.3941,                0.85987,              0.0094456,              0.0094456,              0.0094456
                     17,                0.59115,                0.41543,                0.86662,                      1,                0.96898,                 0.9944,                0.88287,                0.53241,                0.42869,                0.85412,               0.009406,               0.009406,               0.009406
                     18,                0.58116,                0.42372,                0.86355,                 0.9648,                      1,                0.99258,                0.89958,                0.43084,                 0.3949,                0.84113,              0.0093664,              0.0093664,              0.0093664
                     19,                0.56581,                0.40912,                0.86369,                0.96922,                      1,                0.99135,                0.91292,                0.45303,                0.34161,                0.83777,              0.0093268,              0.0093268,              0.0093268
                     20,                0.57137,                0.41447,                0.86902,                0.98393,                      1,                0.99485,                0.88657,                0.48938,                0.37781,                0.84816,              0.0092872,              0.0092872,              0.0092872
                     21,                0.56791,                0.40842,                0.85432,                0.97805,                0.98485,                0.99217,                0.90642,                0.45982,                0.33621,                0.83933,              0.0092476,              0.0092476,              0.0092476
                     22,                0.54937,                0.38906,                0.85472,                0.98506,                0.99927,                 0.9944,                 0.9283,                 0.4084,                0.31346,                0.83374,               0.009208,               0.009208,               0.009208
                     23,                 0.5378,                0.39572,                0.86156,                0.94909,                      1,                0.96569,                0.85338,                0.52049,                0.39755,                0.85785,              0.0091684,              0.0091684,              0.0091684
                     24,                0.54026,                0.37867,                0.86236,                 0.9674,                      1,                0.99471,                0.92968,                0.42081,                0.29401,                0.83459,              0.0091288,              0.0091288,              0.0091288
                     25,                 0.5263,                0.37014,                0.86018,                0.95644,                      1,                0.99335,                0.92575,                0.46851,                0.33667,                0.83401,              0.0090892,              0.0090892,              0.0090892
                     26,                0.53874,                0.37939,                0.85935,                0.98277,                      1,                0.99485,                 0.9502,                0.38306,                0.28017,                0.82985,              0.0090496,              0.0090496,              0.0090496
                     27,                0.50787,                0.36372,                0.85693,                 0.9835,                      1,                0.99485,                0.93379,                0.35447,                0.26037,                0.82125,                0.00901,                0.00901,                0.00901
                     28,                0.51422,                0.35786,                0.84776,                 0.9276,                      1,                0.96828,                0.86509,                0.48363,                0.40231,                 0.8467,              0.0089704,              0.0089704,              0.0089704
                     29,                 0.5082,                 0.3582,                0.85011,                0.96971,                      1,                0.99396,                0.92881,                0.37713,                 0.2717,                0.82215,              0.0089308,              0.0089308,              0.0089308
                     30,                0.50826,                0.36031,                 0.8452,                0.95491,                      1,                0.98313,                0.89468,                0.47021,                0.34692,                0.83526,              0.0088912,              0.0088912,              0.0088912
                     31,                0.49887,                0.36052,                  0.849,                0.97007,                      1,                  0.995,                0.92841,                0.39876,                0.28724,                0.82939,              0.0088516,              0.0088516,              0.0088516
                     32,                0.49709,                0.34543,                0.84763,                0.98462,                 0.9697,                 0.9845,                0.94239,                0.37822,                0.42232,                0.82032,               0.008812,               0.008812,               0.008812
                     33,                0.49296,                0.34433,                0.84794,                0.98378,                      1,                0.99485,                0.92926,                0.36945,                0.27706,                0.82153,              0.0087724,              0.0087724,              0.0087724
                     34,                0.49911,                0.34148,                 0.8441,                      1,                0.99936,                  0.995,                0.94206,                0.35259,                0.25277,                0.82198,              0.0087328,              0.0087328,              0.0087328
                     35,                0.48828,                0.35126,                0.84791,                0.98179,                0.98485,                0.99411,                0.93923,                0.36082,                0.25753,                0.82722,              0.0086932,              0.0086932,              0.0086932
                     36,                0.47906,                 0.3351,                0.85312,                0.94089,                      1,                0.98677,                0.91369,                0.40326,                0.32724,                0.82998,              0.0086536,              0.0086536,              0.0086536
                     37,                0.49121,                0.33273,                0.85094,                0.97055,                 0.9987,                 0.9844,                0.93346,                   0.39,                0.27927,                0.82259,               0.008614,               0.008614,               0.008614
                     38,                0.47854,                0.34144,                0.84084,                0.99924,                 0.9697,                0.99412,                0.93366,                0.42959,                0.33634,                0.83201,              0.0085744,              0.0085744,              0.0085744
                     39,                0.47328,                0.32958,                0.84415,                0.99239,                 0.9697,                0.99397,                0.93145,                0.39925,                0.28776,                0.82653,              0.0085348,              0.0085348,              0.0085348
                     40,                0.48085,                0.33646,                0.84258,                0.96979,                      1,                0.99412,                0.93505,                0.39748,                0.26087,                0.82802,              0.0084952,              0.0084952,              0.0084952
                     41,                0.47034,                 0.3261,                0.84172,                0.98258,                      1,                0.99455,                  0.924,                0.39486,                0.28016,                0.82954,              0.0084556,              0.0084556,              0.0084556
                     42,                0.46786,                0.33086,                0.84589,                0.98346,                0.98485,                0.99346,                0.92597,                0.37642,                0.27055,                0.82419,               0.008416,               0.008416,               0.008416
                     43,                0.46837,                0.32101,                0.84739,                0.96878,                      1,                0.99382,                0.93346,                 0.3819,                0.27073,                0.82773,              0.0083764,              0.0083764,              0.0083764
                     44,                 0.4758,                0.32786,                0.84408,                0.97056,                0.99895,                 0.9848,                 0.9232,                0.36549,                 0.2547,                0.82425,              0.0083368,              0.0083368,              0.0083368
                     45,                0.47008,                0.32807,                0.84436,                0.98505,                0.99823,                0.98784,                0.92136,                0.33838,                0.25772,                0.82418,              0.0082972,              0.0082972,              0.0082972
                     46,                0.47248,                0.32289,                0.84699,                0.98083,                      1,                0.98015,                0.92336,                0.38561,                0.26779,                0.82887,              0.0082576,              0.0082576,              0.0082576
                     47,                0.44925,                0.31468,                0.84586,                0.97886,                      1,                0.98291,                0.91404,                0.35739,                0.32185,                 0.8216,               0.008218,               0.008218,               0.008218
                     48,                0.44892,                 0.3144,                0.83715,                0.99873,                      1,                  0.995,                0.94148,                0.38379,                0.24176,                0.81824,              0.0081784,              0.0081784,              0.0081784
                     49,                0.45399,                0.31793,                0.84139,                0.96996,                      1,                0.99016,                0.94204,                 0.4055,                0.27048,                0.82349,              0.0081388,              0.0081388,              0.0081388
                     50,                0.44397,                0.31179,                0.83545,                0.98434,                      1,                0.99455,                0.95003,                0.35872,                0.25236,                0.81926,              0.0080992,              0.0080992,              0.0080992
                     51,                0.44093,                0.30879,                0.83805,                0.96825,                0.98485,                0.97964,                0.94214,                 0.3417,                 0.2585,                0.81683,              0.0080596,              0.0080596,              0.0080596
                     52,                0.44083,                 0.3136,                0.83504,                0.98507,                0.99997,                0.99455,                0.94955,                0.34316,                0.23314,                0.81916,                0.00802,                0.00802,                0.00802
