                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.172,                  4.031,                 1.3081,                0.00218,                0.75706,                0.48094,                0.38046,                0.83366,                 3.9757,                0.98057,               0.003252,               0.003252,               0.003252
                      2,                 0.8286,                 1.8562,                 1.0496,                  0.877,                0.12658,                0.14434,                0.11552,                 1.2967,                 4.7029,                 1.4766,              0.0065593,              0.0065593,              0.0065593
                      3,                0.85185,                 1.3401,                 1.0559,                0.79002,                0.82847,                0.87549,                0.62492,                0.99868,                 1.6575,                 1.1442,              0.0098401,              0.0098401,              0.0098401
                      4,                0.89609,                0.97134,                 1.0722,                0.71683,                0.73954,                0.88119,                0.64015,                0.94214,                 1.3356,                 1.1743,              0.0098812,              0.0098812,              0.0098812
                      5,                0.87879,                0.80047,                 1.0653,                0.63269,                0.69077,                0.75155,                0.53999,                 1.0872,                 4.2782,                 1.2552,              0.0098812,              0.0098812,              0.0098812
                      6,                0.85797,                 0.7205,                 1.0624,                0.88234,                0.84558,                0.94677,                0.72338,                0.82388,                 1.1871,                 1.0416,              0.0098416,              0.0098416,              0.0098416
                      7,                0.81143,                0.64636,                  1.038,                0.80335,                0.78671,                0.96249,                0.73492,                0.85865,                 2.2344,                 1.0538,               0.009802,               0.009802,               0.009802
                      8,                0.82191,                0.63273,                 1.0401,                0.87509,                0.89172,                0.97173,                0.77055,                0.75951,                0.68337,                0.98547,              0.0097624,              0.0097624,              0.0097624
                      9,                0.78439,                0.59455,                 1.0227,                0.92608,                0.89517,                0.96407,                0.78237,                0.74691,                0.59383,                0.94873,              0.0097228,              0.0097228,              0.0097228
                     10,                0.76727,                0.56507,                 1.0161,                0.92548,                0.94427,                0.96918,                0.77603,                0.76905,                0.54058,                0.96021,              0.0096832,              0.0096832,              0.0096832
                     11,                 0.7528,                0.55264,                 1.0124,                0.92757,                 0.8994,                0.97284,                0.78868,                0.72916,                0.73278,                0.95353,              0.0096436,              0.0096436,              0.0096436
                     12,                0.74784,                0.54229,                 1.0115,                 0.9103,                0.93688,                0.96884,                0.76908,                0.75998,                0.55706,                0.96444,               0.009604,               0.009604,               0.009604
                     13,                0.74496,                0.54411,                 1.0112,                 0.9306,                 0.9603,                0.97527,                0.80337,                0.72797,                0.50928,                0.94276,              0.0095644,              0.0095644,              0.0095644
                     14,                0.73524,                 0.5138,                 1.0002,                0.92953,                0.95321,                0.97189,                0.80963,                0.66212,                 0.4717,                0.91863,              0.0095248,              0.0095248,              0.0095248
                     15,                0.72552,                0.51204,                 1.0013,                0.93275,                0.96946,                0.97407,                0.79303,                 0.6897,                 0.4625,                0.92344,              0.0094852,              0.0094852,              0.0094852
                     16,                0.70307,                0.49349,                0.99684,                0.92812,                0.90967,                0.97079,                0.79877,                0.71028,                0.55777,                0.92879,              0.0094456,              0.0094456,              0.0094456
                     17,                0.69014,                0.48702,                0.98218,                0.94836,                0.96523,                0.97548,                0.80454,                0.70029,                0.44383,                0.93679,               0.009406,               0.009406,               0.009406
                     18,                0.70238,                0.48704,                0.99048,                0.94723,                0.97377,                0.97739,                0.81106,                0.67114,                0.43012,                0.92319,              0.0093664,              0.0093664,              0.0093664
                     19,                 0.7018,                0.48573,                0.98193,                0.90894,                 0.9308,                0.95401,                0.77261,                0.73402,                0.51179,                0.95618,              0.0093268,              0.0093268,              0.0093268
