                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3097,                 4.3335,                  1.402,                0.95247,                0.34998,                0.50034,                0.38963,                0.85978,                  3.941,                0.97933,               0.003252,               0.003252,               0.003252
                      2,                0.87097,                 1.9812,                 1.0835,                      1,                0.36077,                0.69401,                0.50371,                 1.0159,                 3.4875,                 1.1186,              0.0065593,              0.0065593,              0.0065593
                      3,                0.88108,                  1.413,                 1.0675,                 0.8651,                0.83749,                0.88198,                0.63791,                0.95344,                  1.804,                 1.1539,              0.0098401,              0.0098401,              0.0098401
                      4,                0.91142,                 1.0354,                 1.0844,                0.32646,                0.12366,                0.16423,                0.07927,                 2.4227,                 3.7703,                  3.258,              0.0098812,              0.0098812,              0.0098812
                      5,                0.91563,                0.84953,                  1.085,                0.64215,                0.80089,                0.78218,                0.52685,                 1.1259,                 1.9857,                  1.292,              0.0098812,              0.0098812,              0.0098812
                      6,                0.87403,                0.75616,                 1.0699,                0.67642,                0.83078,                0.92575,                0.69653,                 0.8508,                 1.4413,                 1.0785,              0.0098416,              0.0098416,              0.0098416
                      7,                0.83119,                0.68809,                 1.0496,                0.66688,                0.85539,                0.89615,                 0.6634,                0.94705,                 1.3043,                 1.1725,               0.009802,               0.009802,               0.009802
                      8,                 0.8433,                0.67572,                 1.0478,                0.81168,                0.64082,                0.85992,                0.59514,                  1.108,                 1.3582,                 1.2029,              0.0097624,              0.0097624,              0.0097624
                      9,                0.81408,                0.62395,                 1.0368,                0.81155,                0.91196,                0.96133,                0.77942,                0.78416,                0.74744,                0.99253,              0.0097228,              0.0097228,              0.0097228
                     10,                0.79478,                0.58569,                 1.0255,                0.88066,                0.92541,                0.97121,                0.78107,                0.77894,                0.59788,                0.99686,              0.0096832,              0.0096832,              0.0096832
                     11,                0.77446,                0.57541,                 1.0207,                0.92651,                0.93519,                0.96498,                 0.7767,                0.73874,                0.57143,                0.95654,              0.0096436,              0.0096436,              0.0096436
                     12,                0.75436,                0.56264,                 1.0183,                0.94631,                0.95646,                0.97489,                0.79339,                0.72108,                0.52789,                0.92641,               0.009604,               0.009604,               0.009604
                     13,                0.75276,                 0.5592,                 1.0125,                0.90532,                 0.8884,                0.96892,                0.78842,                0.74844,                0.57784,                0.95743,              0.0095644,              0.0095644,              0.0095644
                     14,                0.75295,                0.53686,                 1.0098,                0.92963,                0.97386,                0.97546,                0.79047,                0.74343,                0.54385,                0.96311,              0.0095248,              0.0095248,              0.0095248
                     15,                0.74456,                 0.5392,                 1.0098,                0.93391,                0.97983,                0.97629,                0.77963,                0.77816,                0.54269,                0.95628,              0.0094852,              0.0094852,              0.0094852
                     16,                0.72017,                0.50847,                0.99887,                0.87603,                0.92859,                0.96578,                0.80113,                0.69959,                 0.5419,                0.92894,              0.0094456,              0.0094456,              0.0094456
                     17,                0.69778,                0.49915,                0.98305,                0.95256,                0.95579,                0.97986,                0.81057,                0.70575,                0.45557,                0.92939,               0.009406,               0.009406,               0.009406
                     18,                0.70802,                0.50514,                0.99328,                0.91926,                0.93116,                0.97036,                0.78127,                0.74024,                0.51458,                0.94833,              0.0093664,              0.0093664,              0.0093664
                     19,                0.70802,                0.49924,                0.98423,                0.94168,                0.97201,                0.97255,                 0.7868,                0.80665,                0.49254,                0.99458,              0.0093268,              0.0093268,              0.0093268
                     20,                0.69997,                0.48858,                0.98915,                0.95468,                0.94868,                0.97919,                0.81145,                 0.6953,                0.44635,                0.92552,              0.0092872,              0.0092872,              0.0092872
                     21,                0.67678,                0.48561,                0.98104,                0.94836,                 0.9685,                0.98015,                0.81997,                0.69479,                0.45689,                0.92125,              0.0092476,              0.0092476,              0.0092476
                     22,                 0.6791,                0.48264,                0.98199,                0.93259,                0.97807,                0.97618,                0.81131,                 0.6865,                0.44732,                0.91629,               0.009208,               0.009208,               0.009208
                     23,                0.68139,                0.47227,                0.98191,                0.78607,                0.89634,                0.95806,                0.78364,                0.74907,                 0.7762,                 1.0295,              0.0091684,              0.0091684,              0.0091684
                     24,                0.68082,                0.46504,                0.97712,                0.96656,                0.95039,                 0.9737,                0.80935,                0.71018,                0.44584,                0.92091,              0.0091288,              0.0091288,              0.0091288
                     25,                0.67802,                0.46021,                0.97616,                0.93836,                0.96436,                0.97838,                 0.8031,                0.72043,                0.45545,                0.94338,              0.0090892,              0.0090892,              0.0090892
                     26,                0.66497,                0.45414,                0.97411,                0.95978,                0.95602,                0.98023,                0.82408,                0.68407,                0.41351,                0.91857,              0.0090496,              0.0090496,              0.0090496
                     27,                0.67353,                0.45741,                0.96984,                0.90996,                0.88036,                0.93856,                0.76645,                0.79753,                0.58139,                 1.0031,                0.00901,                0.00901,                0.00901
                     28,                0.65603,                0.45407,                0.97231,                0.88757,                0.92403,                0.97583,                 0.8201,                0.68834,                0.45562,                0.91299,              0.0089704,              0.0089704,              0.0089704
                     29,                0.65691,                0.44999,                0.97312,                0.95475,                0.94395,                0.97156,                0.82361,                 0.6573,                0.43564,                0.89586,              0.0089308,              0.0089308,              0.0089308
                     30,                0.64497,                0.45299,                0.97066,                0.94262,                0.94443,                0.96996,                0.81663,                0.67775,                0.44077,                0.91563,              0.0088912,              0.0088912,              0.0088912
                     31,                0.64361,                0.44082,                0.96163,                0.90711,                0.93414,                0.97681,                0.80731,                 0.7195,                0.49097,                0.94165,              0.0088516,              0.0088516,              0.0088516
                     32,                0.64546,                0.43948,                0.95727,                0.90887,                 0.9496,                0.96913,                0.80305,                0.68187,                0.45024,                0.92057,               0.008812,               0.008812,               0.008812
                     33,                0.63497,                0.43385,                0.96467,                0.95507,                0.95801,                  0.971,                0.81972,                0.70352,                0.45663,                0.92288,              0.0087724,              0.0087724,              0.0087724
                     34,                0.62561,                0.43159,                0.95216,                0.95122,                 0.9613,                0.97704,                0.82652,                0.64905,                0.40753,                0.89213,              0.0087328,              0.0087328,              0.0087328
                     35,                0.62775,                0.42679,                0.95603,                0.93781,                0.96319,                0.97747,                0.82272,                0.64794,                0.41193,                0.89618,              0.0086932,              0.0086932,              0.0086932
                     36,                0.62712,                0.42376,                0.95861,                0.93658,                0.95175,                0.97631,                0.83433,                0.65089,                 0.4034,                0.89414,              0.0086536,              0.0086536,              0.0086536
                     37,                0.62348,                0.42592,                0.95568,                0.94369,                0.92204,                 0.9786,                0.82501,                0.65069,                0.41306,                 0.9051,               0.008614,               0.008614,               0.008614
