                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3603,                 4.3413,                 1.4115,                0.00169,                0.50693,                0.35242,                0.29724,                0.93091,                 4.2212,                 1.0501,             0.00027151,             0.00027151,             0.00027151
                      2,                0.91774,                 2.3194,                 1.0973,                0.97201,                0.27619,                0.33309,                0.27109,                 0.9742,                 3.8739,                 1.0657,              0.0005551,              0.0005551,              0.0005551
                      3,                0.88923,                 1.8992,                 1.0626,                0.99226,                0.29114,                0.71674,                0.53628,                0.94173,                 3.4519,                 1.1116,             0.00083643,             0.00083643,             0.00083643
                      4,                 0.9129,                 1.6748,                 1.0806,                0.68869,                 0.5438,                0.69973,                0.51581,                 1.0637,                 3.3174,                 1.1875,              0.0011155,              0.0011155,              0.0011155
                      5,                0.90647,                 1.3847,                 1.0818,                0.63961,                0.69918,                0.86799,                0.58252,                 1.1141,                 2.7745,                 1.2309,              0.0013923,              0.0013923,              0.0013923
                      6,                 0.9356,                 1.2517,                 1.0903,                0.62089,                0.85115,                0.88669,                0.59331,                 1.0993,                 9.2169,                 1.2406,              0.0014007,              0.0014007,              0.0014007
                      7,                0.92467,                 1.0686,                  1.105,                0.50218,                0.73932,                0.56929,                  0.328,                 1.3362,                 2.6474,                 1.3926,              0.0014007,              0.0014007,              0.0014007
                      8,                0.89642,                0.90237,                 1.0606,                0.86887,                0.79611,                0.92344,                0.67303,                0.99239,                 4.8172,                  1.145,               0.001395,               0.001395,               0.001395
                      9,                 0.8863,                0.83541,                 1.0716,                 0.7793,                0.73679,                0.90534,                0.66694,                0.93029,                 1.4237,                 1.0671,              0.0013894,              0.0013894,              0.0013894
                     10,                0.86887,                0.75188,                 1.0645,                0.94609,                0.84754,                0.90696,                0.67458,                0.97275,                 0.8175,                 1.0792,              0.0013837,              0.0013837,              0.0013837
                     11,                0.84891,                0.76079,                 1.0379,                0.93668,                0.90827,                0.96703,                0.74849,                0.89472,                 2.1283,                 1.0615,              0.0013781,              0.0013781,              0.0013781
                     12,                0.80578,                 0.6942,                 1.0397,                0.84328,                0.68367,                 0.8579,                0.67447,                0.90149,                 2.7444,                 1.1086,              0.0013724,              0.0013724,              0.0013724
                     13,                0.81418,                0.68043,                 1.0426,                0.85501,                0.72301,                0.92248,                0.71381,                0.82899,                 1.2488,                 1.0043,              0.0013668,              0.0013668,              0.0013668
                     14,                0.80917,                0.65003,                 1.0331,                0.91643,                0.88579,                0.92243,                0.69388,                0.90039,                  2.072,                 1.0545,              0.0013611,              0.0013611,              0.0013611
                     15,                0.81149,                0.61711,                 1.0311,                0.92759,                0.81884,                0.95901,                 0.7402,                0.85149,                0.79887,                0.99941,              0.0013554,              0.0013554,              0.0013554
                     16,                0.78008,                0.60504,                 1.0138,                0.63434,                0.91484,                0.92307,                0.70683,                 0.8897,                 3.6315,                  1.072,              0.0013498,              0.0013498,              0.0013498
                     17,                0.82231,                  0.628,                 1.0216,                0.85261,                0.91812,                0.95353,                0.72612,                0.85335,                0.71278,                0.99426,              0.0013441,              0.0013441,              0.0013441
                     18,                0.79517,                0.63098,                 1.0247,                0.90613,                0.95636,                0.97263,                 0.7781,                0.75462,                0.56189,                 0.9339,              0.0013385,              0.0013385,              0.0013385
                     19,                0.76635,                0.59888,                 1.0137,                0.89706,                0.94101,                0.96911,                0.75761,                0.79115,                0.62468,                0.96546,              0.0013328,              0.0013328,              0.0013328
                     20,                0.74123,                0.57224,                 1.0114,                 0.9068,                0.93582,                0.96395,                0.78303,                0.75344,                0.55752,                0.93959,              0.0013271,              0.0013271,              0.0013271
                     21,                0.76435,                  0.574,                 1.0057,                0.92676,                0.95866,                0.97568,                0.76253,                0.80254,                0.56852,                0.96347,              0.0013215,              0.0013215,              0.0013215
                     22,                0.75134,                0.56626,                 1.0035,                0.89329,                0.95685,                 0.9762,                0.78094,                0.73132,                 0.6109,                0.91765,              0.0013158,              0.0013158,              0.0013158
                     23,                0.74202,                0.55758,                 1.0061,                0.93415,                0.93111,                0.97338,                0.79565,                 0.7574,                0.53206,                0.94917,              0.0013102,              0.0013102,              0.0013102
                     24,                0.71695,                0.54315,                0.99258,                0.90771,                0.93331,                 0.9722,                 0.7974,                0.74562,                0.50072,                0.93155,              0.0013045,              0.0013045,              0.0013045
                     25,                  0.697,                0.53197,                0.99474,                0.92938,                0.96194,                0.97543,                 0.7833,                0.75372,                0.52476,                0.95659,              0.0012988,              0.0012988,              0.0012988
                     26,                0.73421,                0.53419,                 1.0026,                0.93471,                0.94778,                0.97876,                0.80474,                 0.7364,                0.47321,                0.93029,              0.0012932,              0.0012932,              0.0012932
                     27,                0.69565,                0.50823,                0.97513,                0.94226,                 0.9504,                0.97524,                0.79212,                 0.7485,                 0.5202,                 0.9452,              0.0012875,              0.0012875,              0.0012875
                     28,                 0.6996,                0.51551,                0.98843,                0.92593,                0.95153,                0.96713,                0.78086,                0.75765,                0.50965,                 0.9561,              0.0012819,              0.0012819,              0.0012819
                     29,                0.71382,                0.52145,                0.99821,                0.92829,                0.95888,                0.97506,                0.78718,                0.74107,                0.53753,                0.94879,              0.0012762,              0.0012762,              0.0012762
                     30,                0.68036,                0.48735,                0.97347,                0.93184,                0.97466,                0.97634,                0.81042,                0.71713,                0.51183,                 0.9393,              0.0012706,              0.0012706,              0.0012706
                     31,                0.70499,                0.49048,                0.98234,                0.94277,                0.97424,                0.97655,                0.80388,                0.70765,                0.48385,                0.92535,              0.0012649,              0.0012649,              0.0012649
                     32,                0.68544,                0.49332,                0.98327,                0.89677,                0.96226,                0.97652,                0.80553,                0.69281,                 0.5324,                 0.9249,              0.0012592,              0.0012592,              0.0012592
                     33,                0.69742,                0.50026,                0.98581,                0.93049,                0.96743,                 0.9757,                0.81141,                0.71201,                0.46166,                0.92257,              0.0012536,              0.0012536,              0.0012536
                     34,                0.69925,                0.49999,                 0.9765,                0.91701,                0.96647,                0.97854,                 0.7924,                0.73984,                0.48087,                0.95016,              0.0012479,              0.0012479,              0.0012479
                     35,                0.69288,                0.48827,                0.97624,                0.94432,                0.97368,                0.97675,                0.80233,                 0.7006,                0.49778,                0.91409,              0.0012423,              0.0012423,              0.0012423
                     36,                0.67492,                0.47989,                0.97698,                0.93468,                0.94897,                0.97218,                0.80755,                0.70542,                0.47222,                0.92064,              0.0012366,              0.0012366,              0.0012366
                     37,                0.65113,                0.46212,                0.96845,                0.93021,                0.97668,                0.97706,                0.82477,                0.68286,                0.42529,                0.91526,              0.0012309,              0.0012309,              0.0012309
                     38,                 0.6586,                0.46473,                0.97323,                0.91379,                 0.9736,                0.97308,                0.82172,                 0.6852,                0.48205,                0.90315,              0.0012253,              0.0012253,              0.0012253
                     39,                0.67451,                0.47074,                0.97617,                0.90669,                0.94961,                0.97235,                0.79693,                0.69671,                0.47345,                0.91084,              0.0012196,              0.0012196,              0.0012196
                     40,                0.67146,                0.46702,                0.97741,                0.95716,                0.95175,                0.98248,                0.81787,                0.67088,                0.47763,                 0.9053,               0.001214,               0.001214,               0.001214
                     41,                0.65349,                 0.4582,                0.96565,                0.94629,                0.94604,                0.97877,                0.82744,                0.70153,                0.44152,                0.91927,              0.0012083,              0.0012083,              0.0012083
                     42,                0.65477,                0.45642,                0.96622,                0.93528,                0.95071,                0.97634,                0.80891,                0.68789,                0.48196,                0.91126,              0.0012026,              0.0012026,              0.0012026
                     43,                0.66757,                0.47571,                0.97527,                0.90326,                0.87308,                0.97768,                0.80917,                0.68847,                0.53237,                0.91038,               0.001197,               0.001197,               0.001197
                     44,                0.66222,                0.47298,                0.97291,                0.90832,                0.97683,                0.97827,                0.80475,                0.69988,                0.46511,                0.92547,              0.0011913,              0.0011913,              0.0011913
                     45,                0.65378,                0.46434,                0.96905,                0.96576,                0.96322,                0.98247,                0.82512,                0.68839,                0.42808,                0.91823,              0.0011857,              0.0011857,              0.0011857
                     46,                0.63228,                0.43607,                 0.9607,                0.89264,                0.94244,                 0.9739,                0.80329,                0.71007,                0.53209,                0.92576,                0.00118,                0.00118,                0.00118
                     47,                 0.6517,                0.47574,                0.96194,                0.94162,                 0.9679,                0.98198,                 0.8267,                0.67205,                0.43255,                0.89743,              0.0011744,              0.0011744,              0.0011744
                     48,                0.62864,                0.43249,                0.96138,                0.90763,                0.97251,                0.97793,                0.81749,                0.68331,                0.45432,                0.91018,              0.0011687,              0.0011687,              0.0011687
                     49,                0.65689,                0.45887,                 0.9591,                0.92432,                0.97626,                0.97811,                0.83026,                 0.6611,                0.44344,                0.89999,               0.001163,               0.001163,               0.001163
                     50,                0.65105,                 0.4478,                0.96097,                0.91664,                0.97794,                0.97853,                 0.8363,                0.66577,                0.42662,                0.90325,              0.0011574,              0.0011574,              0.0011574
                     51,                0.63913,                0.43772,                0.95191,                0.92586,                0.98246,                0.98142,                0.82429,                0.64956,                0.46938,                 0.8947,              0.0011517,              0.0011517,              0.0011517
